gene_id	normalized_count	barcode	tissue_type
ACSL1|2180	24688.7052	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSL3|2181	1297.5207	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSL4|2182	400.8264	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSL5|51703	3268.5950	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSL6|23305	15.1515	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSM1|116285	55.0964	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSM2A|123876	8589.5317	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSM2B|348158	10268.5950	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSM3|6296	2082.3278	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSM4|341392	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSM5|54988	6477.9614	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSS1|84532	349.8623	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSS2|55902	4629.4766	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACSS3|79611	1415.9780	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTA1|58	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTA2|59	2894.1736	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTBL2|345651	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTB|60	75337.4656	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTC1|70	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTG1|71	37816.8044	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTG2|72	50.9642	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTL6A|86	432.5069	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTL6B|51412	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTL7A|10881	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTL7B|10880	1.3774	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTL8|81569	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTL9|284382	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTN1|87	3984.8485	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTN2|88	6.8871	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTN3|89	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTN4|81	6867.2865	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR10|55860	603.3058	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR1A|10121	1902.2039	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR1B|10120	1841.5978	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR2|10097	3177.6860	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR3B|57180	165.2893	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR3C|653857	161.1570	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR3|10096	1950.4132	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR5|79913	121.2121	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR6|64431	433.8843	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTR8|93973	258.9532	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTRT1|139741	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACTRT2|140625	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACVR1B|91	998.6226	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACVR1C|130399	77.1350	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACVR1|90	763.0854	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACVR2A|92	345.7300	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACVR2B|93	337.4656	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACVRL1|94	365.0138	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACY1|95	8644.6281	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACY3|91703	623.9669	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACYP1|97	24.7934	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ACYP2|98	304.4077	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAD1|132612	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAD2|161931	0.0000	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAL|161823	151.5152	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM10|102	705.2342	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
ADAM11|4185	11.0193	TCGA-W5-AA2Q-11A-11R-A41I-07	NT
